id,word,example_en,example_ja
B100001,abandon,The crew abandoned the ship.,乗組員は船を放棄した。
B100002,able,He was not able to open the box.,彼はその箱を開けることができなかった。
B100003,abnormal,The test results showed abnormal levels of chemicals in the water.,試験結果は、水中の化学物質の異常なレベルを示しました。
B100004,aboard,"The bus fell off the cliff, killing all 10 aboard.",バスが崖から転落し、乗っていた１０名全員が死亡した。
B100005,aborigine,The aborigine tribes have lived in this area for thousands of years.,この地域には原住民の部族が何千年も住んでいます。
B100006,above,The above statement is true.,前述の声明は真実です。
B100007,absence,You have to account for your absence.,君は欠席の理由を説明しなければならない。
B100008,absent,John was absent from school yesterday.,ジョンは昨日、学校を欠席した。
B100009,absolute,That's absolute nonsense!,それは全く馬鹿げた話だ。
B100010,absolutely,You are absolutely right.,全くおっしゃる通りです。
B100011,absorb,Plants absorb sunlight to perform photosynthesis.,植物は光合成を行うために太陽光を吸収します。
B100012,abstract,The concept of love is quite abstract.,愛の概念はかなり抽象的です。
B100013,abundance,The orchard yielded an abundance of apples this year.,その果樹園は今年、りんごをあり余るほどたくさん実らせました。
B100014,abundant,This region is known for its abundant natural resources.,この地域は豊富な自然資源で知られています。
B100015,academic,The academic atmosphere in this university is very stimulating.,この大学の校風はとても刺激的です。
B100016,academy,She graduated from the academy with honors.,彼女は学士院を優秀な成績で卒業しました。
B100017,accent,She speaks English with a foreign accent.,彼女は外国なまりのある英語を話す。
B100018,acceptance,Her acceptance of the award was met with applause.,彼女の受賞の受け入れは拍手で迎えられました。
B100019,access,A bridge gives access to the island.,橋でその島へ渡れるようになっている。
B100020,accessible,This airport is easily accessible by bus.,この空港はバスで楽に行けます。
B100021,accessory,The shop sells expensive accessories for women.,その店では女性用の高価なアクセサリーを売っている。
B100022,accidental,Columbus' discovery of America was accidental.,コロンブスがアメリカを発見したのは、偶然だった。
B100023,accidentally,I accidentally dropped my phone in the pool.,誤って携帯電話をプールに落としてしまいました。
B100024,accompany,I'll accompany you to the airport.,空港までお伴しましょう。
B100025,accomplish,This plan is impossible to accomplish.,この計画は達成不可能だ。
B100026,according to,"According to the weather forecast, it will rain tomorrow.",天気予報によると、明日は雨が降るそうです。
B100027,account,You have to account for the result.,君はその結果を説明しなければならない。
B100028,accountant,The accountant made a misstatement in the financial report.,会計士は財務報告書で誤った陳述をしました。
B100029,accuracy,The accuracy of this machine is impressive.,この機械の精度は素晴らしい。
B100030,accurate,The information provided by the research team was accurate.,研究チームから提供された情報は正確でした。
B100031,accurately,He accurately described what happened there.,彼はそこで起きたことを正確に描写した。
B100032,accuse,He was accused of stealing the necklace.,彼はネックレスを盗んだと告発されました。
B100033,accustom,You need to accustom yourself to the new environment.,新しい環境に慣れる必要があります。
B100034,ache,I have a dull ache here.,ここに鈍痛があります。
B100035,achievement,His achievement in the field of science is remarkable.,科学の分野における彼の功績は目覚ましい。
B100036,acknowledge,I acknowledge that I made a mistake.,私は自分が間違いを犯したことを認めます。
B100037,acknowledgment,Your acknowledgment of your mistake is the first step towards improvement.,あなたが自分の間違いを認めることは、改善への最初のステップです。
B100038,acquaintance,I bumped into an old acquaintance at the supermarket yesterday.,昨日、スーパーマーケットで昔の知り合いに偶然会った。
B100039,acquire,The company plans to acquire a new software to improve their system.,その会社は、システムを改善するために新しいソフトウェアを取得する予定です。
B100040,act,The spy was caught in the act of espionage.,そのスパイはスパイ活動中に捕まった。
B100041,active,She is an active member of the community.,彼女はコミュニティの活動的なメンバーです。
B100042,actress,The actress received a standing ovation for her performance.,その女優は彼女の演技に対してスタンディングオベーションを受けました。
B100043,ad,I saw an interesting ad in the newspaper today.,今日、新聞で面白い広告を見ました。
B100044,adapt,We need to adapt our strategies to the changing market conditions.,私たちは、変化する市場状況に対応するために、戦略を適応させる必要があります。
B100045,address,The government is taking action to address human rights abuse in the country.,政府は国内の人権侵害に対処するための措置を取っています。
B100046,addressee,Please ensure that the addressee receives this letter.,この手紙が受信人に確実に届くようにしてください。
B100047,administration,The administration of this company is very efficient.,この会社の管理は非常に効率的です。
B100048,admiration,His unwavering dedication to his work is truly worthy of admiration.,彼の仕事への揺るぎない献身は本当に賞賛に値する。
B100049,admission,The museum offers free admission to students on weekends.,週末には、学生は無料でその博物館に入場できる。
B100050,adopt,Many companies are looking to adopt innovative technologies to improve their services.,多くの企業が、サービスを改善するために革新的な技術を採用することを検討しています。
B100051,adorable,It’s so adorable.,とても可愛らしいですね。
B100052,advance,We need to advance our plans for the project.,私たちはプロジェクトの計画を進める必要があります。
B100053,adverb,Some English adverbs function as adjectives.,英語の副詞の中には形容詞の役目をするものがある。
B100054,adverbial,Adverbial time clauses (here 'when') write about the future in the present tense.,時の副詞節(ここではwhen)は、未来のことがらを現在時制で表します。
B100055,advert,I saw an advert for a new car on TV.,テレビで新しい車の広告を見ました。
B100056,advertise,We need to advertise our new product to increase sales.,私たちは新製品を広告して売上を増やす必要があります。
B100057,adviser,My adviser gave me some valuable advice for my future career.,私の忠告者は、私の将来のキャリアに対して貴重なアドバイスをくれました。
B100058,aerobics,She goes to aerobics once a week.,彼女は週に１回エアロビクスをやっている。
B100059,affect,The heavy rain affected the traffic.,激しい雨が交通に影響を与えました。
B100060,affection,She is hungry for affection.,彼女は愛情に飢えている。
B100061,afford,I can't afford to buy a new car.,私は新しい車を買う余裕がありません。
B100062,after,"After I finish my homework, I will watch TV.",宿題を終えたら、テレビを見ます。
B100063,afterward,I will clean the house afterward.,私はあとで家を掃除します。
B100064,agenda,Please make sure to review the agenda before the meeting.,会議前に必ず議題を確認してください。
B100065,aggressive,The fight between the two teams was aggressive.,2つのチーム間の戦いは激しかった。
B100066,agreement,They reached an agreement on the terms of the contract.,彼らは契約条件に合意しました。
