id,word,example_en,example_ja
A100001,a,I need a pen to write a letter.,ペンが必要です/手紙を書くには
A100002,a.m.,I usually wake up at 6 a.m.,私は通常、午前6時に起きます。
A100003,about,I will arrive at the station at about 7 o'clock.,私は到着する予定です/その駅に/だいたい7時頃に
A100004,about,I am writing a report about the environmental issues.,私はレポートを書いています/環境問題についての
A100005,above,She lives on the floor above.,彼女は上の階に住んでいる。
A100006,above,The bird flew above the trees.,鳥は木々の上を飛んだ。
A100007,action,Your action has consequences.,あなたの行動には結果が伴います。
A100008,activity,The activity at the park was lively and fun.,公園での活動は活気があり、楽しかった。
A100009,actor,Tom Hanks is a renowned actor in Hollywood.,トム・ハンクスはハリウッドで有名な俳優です。
A100010,add,Please add up the total cost of these items.,これらのアイテムの合計費用を計算してください。
A100011,address,Please write your address on the envelope.,封筒にあなたの住所を書いてください。
A100012,afraid,I am afraid of spiders.,私はクモを恐れています。
A100013,after,I usually go for a walk after dinner.,私は普通、夕食の後に散歩に行きます。
A100014,afternoon,I usually take a walk in the park in the afternoon.,私は通常、午後に公園を散歩します。
A100015,again,I will try again tomorrow.,私は明日再び試します。
A100016,age,My age is not a barrier to my dreams.,私の夢にとって年齢は障害ではない。
A100017,ago,I moved to this city five years ago.,私は5年前にこの都市に引っ越しました。
A100018,agree,I completely agree with your opinion on this matter.,私はこの問題についてのあなたの意見に完全に同意します。
A100019,airplane,I will take an airplane to travel to Japan next month.,来月、日本へ旅行するために飛行機に乗る予定です。
A100020,airport,I will pick you up at the airport.,私は空港であなたを迎えに行きます。
A100021,album,I found an old photo album in the attic.,私は屋根裏で古い写真アルバムを見つけました。
A100022,all,All the books on this shelf are mine.,この棚にある本はすべて私のものです。
A100023,all,All of them are here.,彼ら全員がここにいます。
A100024,all right,It's all right to be late sometimes.,時々遅れてもかまわない。
A100025,all right,Everything will be all right in the end.,最後にはうまくいくよ。
A100026,almost,I have almost finished my homework.,私は宿題をほとんど終えました。
A100027,alone,I decided to travel alone.,私はひとりで旅行することに決めました。
A100028,along,We walked along without saying a word.,私たちは何も言わずに前へと歩き続けました。
A100029,already,I have already finished my homework.,私はもう宿題を終えました。
A100030,also,I also like to read books.,私も本を読むのが好きです。
A100031,always,I always drink coffee in the morning.,私はいつも朝にコーヒーを飲みます。
A100032,am,I am a student.,私は学生です。
A100033,an,I bought an apple from the market.,私は市場からリンゴを一つ買いました。
A100034,and,I like apples and oranges.,私はリンゴとオレンジが好きです。
A100035,angry,He was angry because he missed the bus.,彼はバスに乗り遅れたから怒っていた。
A100036,animal,The zoo is a place where you can see various kinds of animals.,動物園は、さまざまな種類の動物を見ることができる場所です。
A100037,another,Let's try another restaurant for lunch today.,今日の昼食は別のレストランにしましょう。
A100038,answer,"""[[Right on]], that's the right answer!""",「その通り、正解だ！」
A100039,answer,I will answer your question tomorrow.,明日、あなたの質問に答えます。
A100040,any,Is there any chance you could help me with this?,これを手伝ってくれる可能性は何かありますか？（これを手伝っていただけたりしますか？）
A100041,any,I don't want any.,（既出名詞を指して）何も欲しくない。
A100042,anybody,Anybody can do that.,それは誰にでもできる。
A100043,anyone,Anyone can do it if they try hard enough.,どなたでも頑張ればできる。
A100044,anything,I will give you anything you want.,君が欲しいものを何でもあげるよ。
A100045,apple,I ate an apple this morning.,今朝リンゴを食べました。
A100046,April,April is the month of blooming flowers.,4月は花が咲く月です。
A100047,apron,He was wearing a white apron.,彼は白いエプロンを身に着けていた。
A100048,are,You are my best friend.,あなたは私の最高の友人です。
A100049,arm,He held his arm up high.,彼は腕を高く掲げた。
A100050,around,I like to walk around the park in the morning.,私は朝、公園を歩き回るのが好きです。
A100051,arrive,The train arrives at the station at 8 PM.,電車は午後8時に駅に到着します。
A100052,art,She enjoys visiting art galleries and museums.,彼女は美術館や博物館を訪れることを楽しんでいます。
A100053,article,This article explains the benefits of exercise.,この記事は運動の効果を説明しています。
A100054,as,I go there as a tourist.,私は観光客としてそこに行きます。
A100055,ask,I asked her to join us for dinner.,彼女に夕食に付き合ってもらうように頼んだ。
A100056,at,I'm meeting him at the park.,彼と公園で会っています。
A100057,August,August is my favorite month of the year.,8月は私の一番好きな月です。
A100058,aunt,My aunt gave me a beautiful necklace for my birthday.,私のおばさんが私の誕生日に美しいネックレスをくれた。
A100059,autumn,The beauty of autumn leaves is breathtaking.,秋の葉の光景は圧巻です。
A100060,awake,The child was wide awake when his parents came home.,その子供は、両親が帰宅したときには完全に目を覚ましていた
A100061,away,She walked away from the accident scene.,彼女は事故現場から歩いて立ち去った。
A100062,baby,The baby smiled at me.,私に笑顔を見せてくれた赤ちゃん。
A100063,back,He looked back and saw a car approaching.,彼は後ろを振り返り、車が近づいてくるのを見ました。
A100064,back,He has a tattoo on his back.,彼は背中にタトゥーを入れている。
A100065,bad,The food was bad.,その食べ物はおいしくなかった。
A100066,bag,I'm going to buy a bag.,私はバッグを買うつもりです。
A100067,ball,I bought a new ball.,私は新しいボールを買った。
A100068,banana,I bought a banana at the store.,お店でバナナを買った。
A100069,band,She used a rubber band to tie her hair into a ponytail.,彼女は髪を結ぶために、ゴム製のヘアバンドを使ってポニーテールを作った。
A100070,bank,I deposited my money in the bank.,私は私のお金を銀行に預金しました。
A100071,bar,This bar is a popular student hangout.,このバーは学生に人気のたまり場です。
A100072,baseball,He loves playing baseball.,彼は野球をするのが大好きです。
A100073,basketball,He loves playing basketball.,彼はバスケットボールを楽しんでいる。
A100074,bat,He hit the ball with his bat.,彼はバットでボールを打った。
A100075,bath,I'm going to take a bath.,私はお風呂に入ります。
A100076,bathroom,I need to go to the bathroom.,トイレに行く必要がある。
A100077,be,I will be there soon.,すぐにそこに行くよ。
