id,word,expectedPos,answer1,answer2,answer3,answer4,answer5
A100001,a,det,【冠詞】《oneの弱い意味で》一つの,《~ certain》ある,《同種類のものを代表して》any,《単位を表す語につけて》～につき,
A100002,a.m.,adv,《時間を表す数字の後につける》午前(ラテン語ante meridiemの略),,,,
A100003,about,adv,《時を表す名詞を伴って》だいたい～ころに(《話》[around]),周囲に(《米》[around]),《英》あちこちに,《英》あたりに(《米》[around]),《しばしば数詞と共に用いて》およそ
A100004,about,prep,～について,《英》～の回りに(を),《英》～のあちこちに(で),《英》～のあたりに(を),～の身の回りに
A100005,above,adv,上方に,真上に,上流に,天に,特に地位において)高位に
A100006,above,prep,,《方向》《fly》,《場所・位置》～の上に,,,
A100007,action,n,〈U〉行動,〈C〉行為,〈U〉(機械などの)働き,(薬・化学薬品などの)作用,
A100008,activity,n,〈U〉活動,《しばしば複数形で》(種々の)活動,〈U〉(商況・市場などの)活発,,
A100009,actor,n,(男の)俳優,行為者,,,
A100010,add,v,,【他】〈二つ以上のもの〉を合計する《up》,,《～に》～を加える《to 》,《 〜 that節》～とつけ加える,【自】足し算をする,
A100011,address,n,〈C〉あて名,〈C〉演説,《文》〈U〉話しぶり,〈U〉(物事を扱う)手ぎわのよさ,《複数形で》くどき
A100012,afraid,adj,《～を》恐れて,気づかって,気が進まない,,
A100013,after,prep,《時・順序》～の後に,～を求めて,～の名をとって,～のことを心配して,～だから
A100014,afternoon,n,午後(正午から日没まで),《形容詞的に》午後の,,,
A100015,again,adv,再び,《否定語とともに用いて》二度と(～しない),また元の所へ,さらにそれだけ,《しばしば[then]
A100016,age,n,〈U〉(一般に)年齢,〈U〉成年(おとなとしての資格・権利を得る年齢,通例18または21歳),〈U〉老齢,〈U〉(人生の)一時期,〈C〉世代([generation])
A100017,ago,adv,《期間を表す語の後に用いて》(今から)～前に,《longの後に用いて》以前に,,,
A100018,agree,v,〈人が〉意見が一致する,〈物事が〉《～と》合致する,《～と》いっしょにうまくやる《with ～》,(文章で)〈人称・性・数・格が〉一致する,～に意見が一致する
A100019,airplane,n,飛行機(《英》[aeroplane]),,,,
A100020,airport,n,〈C〉空港,飛行場,,,
A100021,album,n,(写真・切手・切り抜きなどを貼る)アルバム,(いくつかの曲・劇などを収録した)組レコード,画帳,,
A100022,all,det,《複数形につけて》(個々を一つにまとめて)全部の,《数えられない名詞につけて》できる限りの,,,
A100023,all,pron,《単数扱い》(物事について)全部,《複数扱い》全員,いっさいの所有物,,
A100024,all right,adj,かまわない,《～にとって》都合がいい《for ～》,うまくいっている,,
A100025,all right,adv,うまく,《確信》確かに,《確認》わかりましたか,《同意》はい,《喜び》やったぞ
A100026,almost,adv,ほとんど,たいてい([nearly])、もう少し,,,
A100027,alone,adv,ひとりで,単独で,ただ～だけで,,
A100028,along,adv,《動作や状態の継続を強めて》前へ,人を)連れて,(物を)持って,沿って,,
