id,word,expectedPos,answer1,answer2,answer3,answer4,answer5
B200001,abandoned,adj,見捨てられた([deserted]),身を持ちくずした,,,
B200002,abnormally,adv,異常に,,,,
B200003,abolish,v,〈他〉〈制度・習慣・規則など〉を廃止する,をやめる,,,
B200004,aboriginal,adj,土着の,原住民,,,
B200005,abruptly,adv,突然に,不意に,,,
B200006,absentee,n,欠席者,不在地主,,,
B200007,absurd,adj,道理に合わない,ばかばかしい,,,
B200008,abuse,n,〈U〉〈C〉乱用,〈U〉悪口,,,
B200009,access,v,アクセスする,近づく,利用可能にする,,
B200010,accessibility,n,近づきやすいこと,影響されやすいこと,,,
B200011,accommodation,n,〈U〉宿泊,《複数形で》(旅館などの)宿泊設備,《～への》適応,〈C〉便宜,調停
B200012,accordingly,adv,従って,それに応じて,,,
B200013,accumulate,v,を蓄積する,蓄積する,,,
B200014,accusation,n,〈C〉〈U〉《～を》告発すること《of ～》,〈C〉《～の》罪状,非難,
B200015,ache,v,(継続的に鈍く)〈人が〉痛みを感じる,《話》切望する,,,
B200016,achievable,adj,成就(じょうじゅ)(達成)できる,,,,
B200017,acid,n,酸性の,酸味のある,(言葉・態度などが)厳しい,酸,すっぱいもの
B200018,acquisition,n,〈U〉《～を》獲得すること,〈C〉取得したもの,,,
B200019,actively,adv,活発に,積極的に,,,
B200020,actual,adj,現実の,現在の,,,
B200021,acute,adj,(先の)鋭い,(痛み・感情などが)激しい,(知力・感覚などが)鋭い,(事態が)重大な,病気が)急性の
B200022,adaptable,adj,(物・事が)適応できる,(人が)融通のきく,,,
B200023,addict,n,(麻薬などの)常用者,中毒者,,,
B200024,addicted,adj,(薬などの物質の作用によって)中毒になっている,(非常に楽しい娯楽などに)病みつきの,,,
B200025,addiction,n,(物事に)熱中すること《+to+名》,(麻薬などの)常用《+to+名》,,,
B200026,additionally,adv,その上,さらに,,,
B200027,adequate,adj,十分な,適切な,適当な,,
B200028,adequately,adv,適切に,十分に,,,
B200029,adjustment,n,〈U〉(～の)調停,〈C〉調整装置,,,
B200030,administrative,adj,行政上の,管理の,経営の,,
B200031,admirable,adj,賞賛に値する,感心する,りっぱな,,
B200032,admiringly,adv,感嘆して、賞賛して、賛美して、うっとりして,,,,
B200033,admittedly,adv,明らかに,疑いなく,,,
B200034,adopted,adj,養子縁組された,養子になった,,,
B200035,adoption,n,養子縁組,〈U〉(新しい方式などの)採用,,,
B200036,adore,v,〈人〉を深く愛する,〈神〉をあがめる,《話》～が大好きである,,
B200037,adorn,v,(装飾品などで)～を飾る《+名+with+名》魅力的にする,,,,
B200038,advance,n,〈U〉〈C〉進むこと,《複数形で》《人に》言い寄ること《to ～》,前もっての《in ～》,
B200039,advancement,n,〈U〉〈C〉進歩,〈U〉(～の)促進,〈U〉(～への)昇進,,
B200040,advent,n,《the ~》(際立ったもの・事件・人の)出現,《A-》キリストの降臨,降臨節(クリスマス前のおよそ4週間の期間),,,
B200041,adventurous,adj,冒険好きな,冒険的な,,,
B200042,adverse,adj,反対の,逆方向の,有害な,,
B200043,adversely,adv,逆に、反対に、不利に、不運に,,,,
B200044,adversity,n,〈U〉逆境,《しばしば複数形で》不幸(不運)なできごと,,,
B200045,affectionate,adj,愛情のこもった,優しい,,,
B200046,affectionately,adv,愛情をこめて,優しく,,,
B200047,affordable,adj,手ごろな価格の,入手可能な,,,
B200048,ageless,adj,不老の,永遠の,,,
B200049,aggressively,adv,攻撃的に、積極的に,,,,
B200050,agonize,v,苦しみもだえる,必死に努力する,～をもだえさせる,,
B200051,agony,n,長く激しい精神的・肉体的な)苦悶(くもん),(特別な感情の)激発,突発,,,
B200052,aim,v,目指す,,,,
B200053,aircraft,n,〈C〉(一般に)航空機,,,,
B200054,aircrew,n,航空機乗組員(操縦士・客室乗務員など),,,,
B200055,alcoholic,n,アルコール中毒[患]者,,,,
B200056,alcoholism,n,アルコール中毒,アルコール中毒症,,,
B200057,alert,v,〈他〉《～に対して》～に警報(警告)を出す,に警戒態勢をとらせる《to ～》,,,
B200058,allegation,n,(十分な証拠を持たない)主張,申し立て,,,
B200059,alliance,n,〈U〉〈C〉(国家間の)同盟,〈U〉〈C〉(個人・組織間の)協力,〈U〉〈C〉(～との)縁組み,,
B200060,ally,n,同盟国,味方,,,
B200061,alongside,prep,～のそばに,～と並んで,,,
B200062,alphabetical,adj,アルファベット順の,ABC順の,,,
B200063,altar,n,祭壇,聖餐(せいさん)台,,,
B200064,alter,v,〈他〉(形・性質などの点で)を変える,〈自〉変わる,,,
B200065,alternate,v,〈自〉〈両者が〉交替する,〈他〉～を交互にさせる,,,
B200066,alternatively,adv,《文修飾》(別の提案を切り出して)あるいは,そうではなくて,２つ以上のうち)いずれかで,,
B200067,altitude,n,〈U〉高さ,〈C〉標高,海抜,高い地位,〈U
B200068,aluminum,n,〈U〉《米》アルミニウム,,,,
B200069,amaze,v,〈他〉をひどくびっくりさせる,をとても驚かす,を仰天させる,,
B200070,amazement,n,大変な驚き,びっくり仰天(astonishment),,,
B200071,amazingly,adv,驚くばかりに、すばらしく、すごく、驚くべきことに(は),,,,
B200072,ambassador,n,大使,,,,
B200073,ambiguity,n,(意味の)あいまいさ,〈C〉あいまいな表現(語句),,,
B200074,ambiguous,adj,(意味が)いろいろな意味にとれる,正体などが)はっきりしない,(輪郭などが)ぼんやりとした,,,
B200075,ammonia,n,アンモニア,アンモニア水(ammonia water),,,
B200076,amongst,prep,～の間に,～の中の,,,
B200077,ample,adj,《不可算名詞・複数名詞の前に用いて》十分な,広い,ふくよかな,,
B200078,amplifier,n,(電気の)増幅器,アンプ(電力の振幅を大きくする),,,
B200079,amplify,v,～を拡大する,〈電流〉を増幅する,,《～について》長々と述べる《on》,,
B200080,amuse,v,,〈他〉《～で》を楽しませる《with》,by》,,,
B200081,analogy,n,類似,類推,例え,,
B200082,analyst,n,(状況などの)分析者,(科学・経済・政治の)分析者,《米》精神分析家(医)(psychoanalyst,,
B200083,anchor,n,いかり(錨),(いかりのような)固定装置,頼みの綱,またanchorman)リレーの最終走者(泳者),〈船〉をいかりで留める
B200084,anchorage,n,〈C〉停泊地,〈C〉〈U〉留める(固定する)もの,〈C〉停泊料(税),,
B200085,anchorman,n,#NAME?,(テレビ・ラジオで)多元ニュース解説者,頼みになる人,,
B200086,anchorperson,n,(ニュース番組などの)総合司会者,,,,
B200087,anguish,n,～に対する)(心身の)激しい苦しみ,,,,
B200088,animate,v,～‘に'生命を吹き込む,～を活気づける,～を励ます,～‘に'駆りたてる,,
B200089,anonymous,adj,作者不明の,名を伏せた,名もない,,
B200090,antiaircraft,adj,対空の,防空の,,,
B200091,antibacterial,adj,抗菌性の,,,,
B200092,anticancer,adj,抗がんの,,,,
B200093,anticipate,v,を予想する,を期待する,〈事〉に前もって対処する,〈人〉より先に行う,
B200094,anticipation,n,(～の)予想,期待《+of+名》,(～という)予想《+that節》,,
B200095,antipollution,n,汚染防止の、公害反対の,,,,
B200096,antique,adj,(物・形が)古風な,古い時代の,,,
B200097,antistatic,adj,帯電防止の,,,,
B200098,antivirus,adj,抗ウイルス性の,,,,
B200099,apostrophe,n,アポストロフィー('印),,,,
B200100,appeal,v,訴える,(上級裁判機関に)控訴する,〈物事が〉(人の)気持に訴える《+to+名》,ゲームで)(審判に)規則の裁定を求める《+to+名》,
B200101,applicant,n,〈C〉《～に対する》申請者,志願者,応募者《for ～》,,
B200102,appreciative,adj,鑑賞的な,感謝の,,,
B200103,approach,v,〈ある時間・場所・状態〉‘に'近づく,(ある目的・要求で)〈人〉‘に'近づく,〈研究・仕事など〉‘に'取りかかる,〈時・事などが〉近づく,程度・性質などにおいて)(～に)似ている
B200104,appropriately,adv,適当に,適切に,ふさわしく,,
B200105,approximate,adj,近似の,,,,
B200106,arch,n,(建物の)アーチ,アーチ型の記念碑,弓形のもの,(足の)土踏まず,
B200107,archaeologist,n,考古学者,,,,
B200108,arctic,adj,北極の,極寒の(frigid),,,
B200109,arena,n,(古代ローマ時代の円形劇場の中央にある)闘技場,(一般にスポーツなどの)競技場,競争の場,,
B200110,aristocracy,n,〈U〉貴族政治,貴族政治の国,《the~》《集合的に》貴族,〈C〉(富・知性・教養などで)第一流の人々,,
B200111,armful,n,(～の)腕いっぱいの量《+of+名》,,,,
B200112,arouse,v,(眠りなどから)〈人〉を起こす,〈物事が〉〈ある行為・感情など〉を呼び起こす,～を刺激する(excite),〈物事が〉〈人〉を刺激して(～)させる,,
B200113,arrogant,adj,〈人・態度などが〉傲慢な,おうへいな,,,
B200114,artery,n,動脈,(道路・水路・鉄道などの)幹線,,,
B200115,articulate,v,(音節や単語が)はっきり話される,自分の考えなど)はっきりと表現できる,(人が)考えを口に出せる,(動物が)関節のある,〈語・音節〉をはっきり発音する,〈気持・考えなど〉をはっきり表現する
B200116,artificially,adv,人工的に,人為的に,,,
B200117,artistry,n,芸術的効果,芸術的才能,,,
B200118,ash,n,〈U〉《しばしば複数形で,単数扱い》灰,〈U〉火山灰,《複数形で》(火葬された)遺骨,,
B200119,aspiration,n,大望,呼気,気音を伴って発音すること(例:penの[p]),,
B200120,aspire,v,大望を抱く,あこがれる,切望する,,
B200121,assault,n,〈U〉〈C〉《～を》襲うこと,《法》暴行,,,
B200122,assemble,v,(ある目的で)〈人・物〉を集める,(部品を集めて)〈機械など〉を組み立てる,～を整とんする,(人が)集まる,
B200123,assembly,n,〈C〉(特定の目的をもった)集会,〈U〉(機械の)組み立て,〈C〉組み立て部品,,
B200124,assert,v,を断言する,を力説する,強く主張する,,
B200125,assess,v,を評価する,《～に》(税金・料金など)を課する,,,
B200126,assessment,n,〈U〉評価,(環境などの)状況判定,〈C〉評価額,,
B200127,assumption,n,〈C〉(証拠はないが正しいと考えている)仮定,〈U〉(任務などを)引き受けること《of ～》,(権力・権利などの)専有,(態度などの)でしゃばり,《the A-》聖母マリアの被昇天,聖母被昇天祭(8月15日)
B200128,assurance,n,〈C〉保証,〈U〉確信,《英》保険,,
B200129,assure,v,〈他〉〈人・自分〉に確信させる,〈事柄・地位など〉を確実にする,《英》～に保険をかける,,
B200130,astonish,v,～をびっくりさせる,驚かせる,,,
B200131,astonished,adj,驚いた、びっくりした、(～に)驚いて、驚いて,,,,
B200132,astonishing,adj,驚くべき,びっくりするような,,,
B200133,astonishment,n,驚き,驚くべきこと,,,
B200134,astronomy,n,天文学,星学,,,
B200135,athletics,n,運動競技,《英》陸上競技,《単数扱い》体育[実技],,,
B200136,attached,adj,くっ付けられた,付属された,添付された,,
B200137,attainable,adj,達せられる,やり逐げられる,得られる,,
B200138,attainment,n,〈U〉(目的などを)達成すること,《しばしば複数形で》学識,,,
B200139,attendance,n,〈U〉《～への》出席 《at ～》,《～への》出席者 《at ～》,《～への》付き添い,,
B200140,attentive,adj,注意深い,手厚い,《～を》気遣う,,
B200141,attentively,adv,よく注意して、親切に、いたわって,,,,
B200142,attractiveness,n,人を引き付けること,魅了すること,,,
B200143,attribute,n,〈C〉(本来人や物などに備わっている)属性,神・人・地位など)付帯しているもの,,,
B200144,attribute,v,《～を》～に帰する,～のせいにする《to ～》,,,
B200145,atypical,adj,型にはまらない,異常な,,,
B200146,aubergine,n,《英》=eggplant,,,,
B200147,audit,n,〈C〉会計検査,決算報告,,,
B200148,audition,n,〈C〉視聴テスト,〈U〉聴力,,,
B200149,authoritative,adj,信頼すべき,権力をもった,権威をふりかざした,,
B200150,authorize,v,〈人〉‘に'(～する)権限を与える《+名〈人〉+to do》,〈物事〉を正式に認可する,,,
B200151,availability,n,利用できること,有用性,利用価値,,
B200152,await,v,〈他〉〈人が〉～を待つ,〈物・事が〉〈人〉を待ちうける,,,
B200153,awe,n,畏敬(いけい),～‘に'畏敬の念を起こさせる,,,
B200154,ax,n,おの,まさかり,,,
B200155,axis,n,〈C〉軸,《the A-》枢軸国(第二次大戦当時の日本・ドイツ・イタリアなど),,,
B200156,backup,n,(食料などの)予備,支持,《おもの米》(パイプなどの)詰まり,(車などの)渋滞《形容詞的に》back-up pilot{名}〈C〉予備操縦士,
B200157,backward,adv,後方へ,逆に,,,
